trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
8/3/2020 6:18,2.29E+15,fraud_Brown-Greenholt,entertainment,44.73,Jeff,Elliott,M,351 Darlene Green,Columbia,SC,29209,33.9659,-80.9355,333497,Mechanical engineer,19/03/1968,8ef9ff08f404d7b3d3e409d01c6864f4,1362723493,33.116261,-81.127674,0
8/3/2020 6:18,4.07E+12,"fraud_Jones, Sawayn and Romaguera",misc_net,5.76,Jamie,Olson,F,3423 Michael Canyon Suite 276,River,KY,41254,37.8795,-82.7251,571,Quarry manager,7/3/1931,7a8c62f34d624a99e041233b78679fea,1362723496,37.123037,-83.502413,0
8/3/2020 6:18,3.77E+14,fraud_Sawayn PLC,shopping_pos,96.66,Kara,Miles,F,2076 Thomas Roads Suite 970,Cassatt,SC,29032,34.3424,-80.5,4424,Lawyer,31/07/1961,14dcda986afe1957c339197b144a323c,1362723515,33.502133,-80.324071,0
8/3/2020 6:20,60422928733,fraud_Kuphal-Bartoletti,misc_net,4.48,Jeffrey,Powers,M,38352 Parrish Road Apt. 652,North Augusta,SC,29860,33.6028,-81.9748,46944,Secondary school teacher,2/4/1942,398936847b2beb1d4719e56da6f106cc,1362723632,33.920335,-82.428727,0
8/3/2020 6:20,3.53E+15,fraud_Huels-Hahn,gas_transport,54.87,Melissa,Rodriguez,F,81708 Christopher Plaza,Jordanville,NY,13361,42.8948,-74.8209,824,Travel agency manager,1/9/1985,4d21d720de023bcef6f822fbeceaf22d,1362723647,43.772547,-74.400886,0
8/3/2020 6:21,3.52E+15,"fraud_Goldner, Kovacek and Abbott",grocery_pos,98.87,Wayne,Marsh,M,172 Leonard Island,Dumont,CO,80436,39.7532,-105.6356,565,Mental health nurse,27/08/1978,b54c360017f99b4d2352f4a81cab0d45,1362723671,40.258221,-105.141406,0
8/3/2020 6:21,3.03E+13,fraud_Vandervort-Funk,grocery_pos,103.25,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,28/11/1972,c180787d4285023b09aaa242daa91c12,1362723680,41.218735,-91.518163,0
8/3/2020 6:21,4.31E+15,"fraud_Osinski, Ledner and Leuschke",grocery_pos,109.56,William,Marshall,M,454 Sawyer Forks Apt. 231,Collegeville,MN,56321,45.5783,-94.4199,1536,Farm manager,18/02/1981,36b1a0cfac094e5fb11590dee60ae340,1362723694,44.674574,-95.191644,0
8/3/2020 6:22,6.01E+15,"fraud_Schultz, Simonis and Little",grocery_pos,129.62,Kathryn,Smith,F,19838 Tonya Prairie Apt. 947,Rocky Mount,MO,65072,38.2911,-92.7059,1847,Tax inspector,26/10/1988,7068d176133365666e39c6660d3953b3,1362723766,38.533977,-91.94183,0
8/3/2020 6:23,4.17E+15,fraud_Harris Inc,gas_transport,72.12,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,10/5/1993,7521376cdbc086bae2ee204d8f964707,1362723789,36.293512,-97.457239,0
